SizeKb,readmeSize,stargazers,language,forks_count,open_issues_count,DescLen,numOfContributors,isActive
136,4523,0,CSS,0,0,9,1,false
188,0,0,Java,0,6,64,0,false
0,0,0,'Not Specified',0,0,2666,-1,false
83,2014,0,Other,0,0,37,1,false
4704,1351,0,Objective-C,0,0,63,1,false
1228,0,0,HTML,0,0,0,1,false
22303,0,0,HTML,0,0,36,30,false
924,0,0,Other,0,0,44,3,false
23,0,0,'Not Specified',0,0,0,3,true
261,3310,1,Ruby,0,0,39,1,true
0,0,0,'Not Specified',0,0,2610,-1,false
4270,5167,0,Other,0,0,60,9,false
0,0,0,'Not Specified',0,0,35,-1,false
3708,346,0,Java,0,0,6,1,true
18922,4409,0,Ruby,0,0,60,30,false
14104,0,0,JavaScript,0,0,3,1,false
140,47,0,Other,0,0,28,1,false
8896,0,0,JavaScript,0,0,10,1,false
104,0,0,'Not Specified',0,0,3,1,false
1769,7776,0,HTML,0,0,43,4,false
1702,1229,0,'Not Specified',0,0,59,1,false
136,0,0,Java,0,0,0,2,false
0,0,0,'Not Specified',0,0,3036,-1,false
124,6845,0,JavaScript,1,0,0,3,false
1792,340,1,JavaScript,1,5,7,1,false
132,40,0,'Not Specified',0,0,24,1,false
101,0,0,PHP,0,0,4,1,false
348,28,0,HTML,0,0,18,1,false
93,313,1,C,0,0,44,1,false
132,90,0,'Not Specified',0,0,25,1,false
0,0,0,'Not Specified',0,0,2899,-1,false
440699,636,0,C++,0,0,35,30,false
11140,0,0,Java,0,0,0,1,false
312,2704,0,JavaScript,0,3,58,1,true
0,0,0,'Not Specified',0,0,11,-1,false
120,76,0,'Not Specified',0,0,0,1,false
232,83,0,HTML,0,0,67,1,false
0,0,0,'Not Specified',0,0,54,-1,false
70686,1425,0,HTML,0,0,36,30,false
3121,0,0,Python,0,0,13,25,false
6639,5896,0,Other,0,0,44,3,false
168,15,0,JavaScript,0,0,0,1,false
104,0,0,'Not Specified',0,0,9,1,false
136,0,0,Other,0,0,0,1,false
221409,-1,0,JavaScript,0,0,68,-1,false
281,750,0,JavaScript,0,0,35,2,false
988,17,0,JavaScript,0,0,0,1,false
568,140,0,JavaScript,0,0,26,1,false
148,204,0,'Not Specified',0,0,21,1,false
172,3742,1,PHP,0,0,39,1,false
5180,22,0,Java,0,0,35,1,false
136,0,0,Other,0,0,0,1,false
352,0,0,Java,0,0,0,1,false
1897,4371,0,Other,0,0,66,4,false
736,0,0,JavaScript,0,0,40,5,false
0,0,0,'Not Specified',0,0,2993,-1,false
1256,835,0,Java,0,0,0,1,false
2535,11763,0,Java,0,0,68,4,false
0,0,0,'Not Specified',0,0,4,-1,false
1980,101,0,Java,0,0,6,1,false
0,0,0,'Not Specified',0,0,0,-1,false
2488,2881,0,PHP,0,0,57,9,false
152,0,0,Python,0,0,23,1,false
2057,4003,0,'Not Specified',0,0,0,30,false
864,0,0,C#,0,0,0,1,false
0,0,0,'Not Specified',0,0,1632,-1,false
272,0,0,Other,0,0,20,2,false
396,0,0,JavaScript,0,0,12,0,false
120,21,0,'Not Specified',0,0,0,1,false
5251,8769,0,CSS,0,0,74,30,false
100,0,0,'Not Specified',0,0,0,1,false
4040,122,1,Other,0,1,206,30,false
120,45,0,'Not Specified',0,0,27,1,false
0,0,0,'Not Specified',0,0,4988,-1,false
148,38,0,HTML,0,0,27,1,false
144,414,1,Python,0,0,61,1,false
68,12688,0,'Not Specified',0,0,37,8,false
25927,4367,0,C,0,0,12,1,false
1606,0,0,Python,0,0,35,30,false
120,0,0,HTML,0,0,0,1,false
697,5148,0,JavaScript,0,0,37,1,false
160,0,0,HTML,0,0,6,1,false
380,170,0,'Not Specified',0,0,0,1,false
128,27,0,'Not Specified',0,0,17,1,false
6039,415,0,C#,0,0,103,2,false
0,0,0,'Not Specified',0,0,0,-1,false
15646,2439,0,Other,0,0,0,9,false
0,0,0,'Not Specified',0,0,3746,-1,false
1084,0,2,'Not Specified',0,0,3,1,false
120,20,1,'Not Specified',0,0,26,1,true
104,0,0,Python,0,0,21,0,false
0,0,0,'Not Specified',0,0,2612,-1,false
26056,34,0,C++,0,0,21,1,false
0,0,0,'Not Specified',0,0,4417,-1,false
160,0,0,C++,0,0,0,1,true
0,0,0,'Not Specified',0,0,0,-1,false
27165,2851,0,HTML,0,0,75,1,false
1861,0,0,C#,0,0,0,3,false
164,118,0,C#,0,0,93,1,false
0,0,0,'Not Specified',0,0,3593,-1,false
80684,0,0,C++,0,5,59,0,false
103996,3624,0,Other,0,0,22,30,false
0,0,0,'Not Specified',0,0,3247,-1,false
9976,0,0,C++,0,0,34,4,false
160,0,0,PHP,0,0,34,1,false
0,0,0,'Not Specified',0,0,2565,-1,false
18544,5855,0,PHP,0,0,97,30,false
0,0,0,'Not Specified',0,0,37,-1,false
356,372,0,JavaScript,0,0,0,1,false
4148,514,6,JavaScript,3,0,65,1,true
116,24,0,'Not Specified',0,0,17,1,false
172,86,0,Other,0,0,76,1,false
861,3510,0,JavaScript,0,0,240,2,false
120,0,0,HTML,0,0,0,1,false
341,797,0,Other,0,0,68,3,false
0,0,0,'Not Specified',0,0,2836,-1,false
124,3051,0,Other,0,0,43,5,false
864,90,0,CSS,0,0,59,1,false
32033,309,0,C#,0,0,41,30,false
96,0,0,C,0,0,33,1,false
160,34,0,'Not Specified',0,1,10,1,false
0,0,0,'Not Specified',0,0,3300,-1,false
408,1063,0,Java,0,1,54,0,false
132,63,0,PHP,0,0,44,1,false
5028,0,0,HTML,0,0,0,0,false
406,0,0,Python,0,0,0,16,false
128,664,0,'Not Specified',0,0,36,1,false
0,0,0,'Not Specified',0,0,3147,-1,false
120180,0,1,Java,0,0,0,3,false
0,0,0,'Not Specified',0,0,3739,-1,false
28635,0,0,Other,0,0,92,2,false
152,72,0,C++,0,0,46,2,false
96,0,0,'Not Specified',0,0,0,1,false
131,0,0,Java,0,0,40,2,false
20636,16,0,JavaScript,0,0,0,3,false
11081,2299,0,Other,0,0,36,1,false
56,39,0,'Not Specified',1,0,0,1,false
274,199,0,C++,0,0,41,1,false
7385,118,0,CSS,1,0,33,2,false
128,177,0,Ruby,0,0,0,1,false
492,2088,1,CSS,0,0,0,0,false
147,1218,0,Ruby,1,0,38,1,false
12825,3695,0,Java,0,0,38,3,false
2207,13,0,Other,2,0,0,4,true
103522,49,0,Other,0,0,30,0,false
160,646,0,JavaScript,0,0,40,2,false
96,0,0,Ruby,0,0,0,1,false
1004,0,0,C++,0,0,0,1,false
966,166,0,CSS,0,0,16,3,false
9,858,0,C,0,0,63,1,false
0,0,0,'Not Specified',0,0,2726,-1,false
0,0,0,'Not Specified',0,0,2744,-1,false
100,0,0,Python,0,0,0,1,false
192,178,0,CSS,0,0,0,1,false
0,0,0,'Not Specified',0,0,3832,-1,false
0,0,0,'Not Specified',0,0,2930,-1,false
304,1986,64,Java,16,2,0,1,true
23857,2047,0,Python,0,0,43,3,false
99,688,0,PHP,0,0,49,1,false
0,0,0,'Not Specified',0,0,2704,-1,false
0,0,0,'Not Specified',0,0,4328,-1,false
432,0,0,Java,0,0,0,0,false
1573,1984,0,CSS,0,0,16,2,false
32032,178,0,Java,1,0,40,4,true
0,0,0,'Not Specified',0,0,2824,-1,false
124,0,0,C++,0,0,0,1,false
556,42,0,CSS,0,0,17,1,false
464,0,0,C,0,0,0,2,true
5620,0,0,Python,0,0,0,0,false
19696,489,0,C#,0,0,0,1,false
4108,0,0,JavaScript,0,0,5,1,false
0,0,0,'Not Specified',0,0,3529,-1,false
0,0,0,'Not Specified',0,0,3047,-1,false
207,2984,50,Objective-C,30,0,32,1,true
0,0,0,'Not Specified',0,0,3674,-1,false
0,0,0,'Not Specified',0,0,3018,-1,false
604,3569,0,PHP,0,0,23,9,false
9668,0,0,'Not Specified',0,329,49,0,false
352,2781,0,'Not Specified',0,0,40,1,false
1647,0,1,Other,0,0,18,2,false
144,0,0,JavaScript,0,0,31,1,false
829,2125,0,Other,0,0,26,4,false
3576,0,0,JavaScript,0,0,0,1,false
1961,5227,0,JavaScript,0,0,33,4,false
60,0,0,Objective-C,0,0,0,1,false
1008,0,0,'Not Specified',0,0,23,1,false
473,0,0,Java,0,0,65,3,false
19132,5918,0,JavaScript,0,0,38,5,false
56,0,0,'Not Specified',0,0,18,-1,false
104,11,0,'Not Specified',0,0,41,0,false
28036,0,0,Other,0,0,26,1,false
1862,1966,0,PHP,0,0,77,1,false
42779,0,1,HTML,0,0,36,1,true
16946,8585,0,Other,0,0,213,7,false
60,0,0,'Not Specified',0,0,0,3,false
608,6531,0,Java,0,0,26,10,false
112,0,0,C++,0,0,0,1,false
27385,0,0,Other,0,0,75,1,false
68,0,0,JavaScript,0,0,38,8,false
104,6614,0,Ruby,0,0,49,30,false
101,1804,0,JavaScript,0,0,27,5,false
160,0,0,Java,0,0,19,0,false
104,0,0,C,0,0,0,1,false
10644,0,0,JavaScript,0,0,0,1,false
184,0,0,Java,0,0,25,1,false
80,0,0,Java,0,0,21,4,false
12272,867,1,Other,2,0,46,1,false
1863,283,0,Java,1,0,8,1,false
13768,0,1,C,3,0,97,4,false
1124,1433,0,C++,0,0,0,3,false
60,161,0,'Not Specified',0,0,105,1,false
4706,6224,0,C,0,0,24,2,false
1244,0,0,PHP,0,0,15,3,false
8516,0,0,Java,0,0,0,1,false
250,477,0,CSS,0,0,49,1,false
418,4536,0,JavaScript,0,0,58,8,false
19956,0,0,PHP,0,0,0,1,false
2404,149,0,C#,0,0,97,2,false
788,184,0,Ruby,0,0,0,2,false
1592,0,0,Other,0,0,0,2,false
264,0,0,'Not Specified',0,0,11,5,false
1382,1469,0,Java,0,0,37,1,false
9630,11859,0,JavaScript,0,0,55,3,false
56,0,0,'Not Specified',0,0,0,-1,false
3360,0,0,C#,0,0,0,1,false
112,2983,0,C++,0,0,21,1,false
699,8156,0,JavaScript,0,0,89,24,false
56,0,0,'Not Specified',0,0,7,-1,false
108,36,0,'Not Specified',0,0,22,1,false
128,59,0,Java,0,0,41,1,false
71318,263,0,Java,2,0,84,1,false
1095,42,0,C++,0,1,0,3,false
64,817,0,JavaScript,0,0,0,1,false
56,0,0,'Not Specified',0,0,13,-1,false
232,9337,0,CSS,0,0,82,1,false
236,209,0,Objective-C,1,0,0,1,false
128,0,0,CSS,0,1,23,1,false
60,0,0,C,0,0,65,8,false
60,26447,0,'Not Specified',0,0,83,0,true
1740,0,0,HTML,0,0,31,30,false
124,171,0,CSS,0,0,17,0,false
2464,43,0,'Not Specified',0,0,0,1,false
572,0,1,Java,2,0,105,8,false
60,1579,0,CSS,0,0,136,9,false
697,4592,0,JavaScript,0,0,77,9,false
4013,379,50,Other,12,0,62,10,true
60,0,0,Ruby,0,0,251,6,false
104,51,0,'Not Specified',0,0,10,1,false
1072,0,0,PHP,0,1,15,5,false
425,441,0,Objective-C,0,0,51,3,false
122,1550,0,Other,0,0,69,4,false
6114,2712,0,Java,0,0,17,1,false
108,43,0,'Not Specified',0,0,13,0,false
60,0,0,PHP,0,0,117,2,false
1100,0,0,PHP,0,2,17,5,false
16058,7631,0,JavaScript,0,0,26,30,false
1333,2807,0,C++,0,0,37,2,false
88,2897,0,Ruby,0,0,61,30,false
456,0,0,C,0,0,112,1,false
7496,0,0,'Not Specified',0,0,0,1,false
16946,8585,0,Other,0,0,213,7,false
164,0,1,Java,1,0,0,0,true
244,569,0,Ruby,0,0,48,1,false
57514,0,0,Java,0,0,26,10,false
108,8,0,'Not Specified',0,0,0,1,false
12624,0,0,Other,0,0,25,30,false
372,67,0,PHP,0,0,11,1,false
1480,89,1,Java,0,0,51,1,false
60,0,0,'Not Specified',0,0,42,1,false
104,0,0,'Not Specified',0,0,4,1,false
2304,0,0,'Not Specified',0,0,97,3,false
